surface_m2,nb_pieces,age_annees,distance_centre_km,price
80.8,,85.6,2.27,226682.0
95.4,5.0,92.7,25.34,190836.0
176.7,7.0,37.5,8.0,502753.0
102.7,4.0,78.7,24.83,234384.0
69.4,4.0,,,175815.0
113.7,5.0,17.5,8.52,325242.0
78.7,3.0,10.7,7.44,241451.0
111.7,4.0,64.0,26.31,239839.0
79.5,4.0,64.2,2.13,226540.0
70.8,4.0,10.0,3.1,217453.0
55.2,,15.7,8.72,151168.0
77.8,4.0,,,151704.0
39.0,2.0,41.0,,104002.0
94.8,4.0,,,282375.0
139.9,6.0,46.5,,393420.0
70.3,4.0,69.9,,164639.0
38.5,2.0,46.3,,32380.0
66.4,2.0,14.4,,182295.0
44.8,1.0,20.6,8.23,120889.0
122.1,6.0,79.6,19.93,307565.0
104.1,4.0,,,249217.0
45.5,1.0,31.4,,128949.0
52.0,2.0,98.0,28.81,46669.0
27.5,1.0,83.8,16.92,25937.0
73.1,4.0,91.7,2.21,210547.0
44.0,,94.7,25.89,45877.0
,1.0,36.6,29.29,42557.0
75.6,3.0,,16.16,178037.0
108.5,5.0,,16.22,281803.0
22.4,2.0,6.9,24.16,21379.0
35.3,1.0,44.0,,50422.0
61.6,2.0,41.3,,132705.0
84.8,5.0,,14.02,208630.0
91.7,4.0,52.0,18.79,243687.0
169.2,8.0,13.2,,532551.0
87.3,4.0,20.1,22.48,209201.0
55.6,3.0,,24.18,97756.0
85.3,4.0,31.6,6.27,225872.0
51.8,,,3.57,152967.0
79.0,4.0,88.7,29.06,152716.0
54.1,2.0,78.4,5.29,135095.0
61.9,3.0,99.3,0.06,158875.0
106.9,5.0,85.4,,235452.0
162.0,8.0,,28.32,400489.0
25.9,1.0,35.6,6.0,71041.0
85.9,,12.7,16.35,239791.0
70.7,3.0,86.7,15.44,167705.0
79.5,3.0,43.9,,180184.0
67.0,3.0,82.2,1.56,195721.0
63.1,3.0,,8.82,204933.0
72.9,5.0,37.4,24.02,164278.0
29.5,2.0,73.8,,53316.0
91.9,4.0,53.2,21.91,218889.0
125.8,5.0,72.7,,342757.0
82.6,3.0,48.9,,259145.0
93.2,3.0,78.9,27.95,187051.0
19.2,1.0,,10.22,27517.0
95.3,4.0,53.4,,209550.0
133.7,6.0,,10.57,385058.0
82.7,2.0,96.8,,163277.0
97.5,4.0,1.9,7.38,308659.0
181.4,9.0,58.9,20.14,501159.0
72.6,2.0,1.2,15.42,177209.0
178.5,8.0,29.5,0.83,542293.0
51.2,2.0,20.8,14.02,128975.0
66.4,3.0,39.8,3.66,196408.0
106.3,5.0,83.4,6.76,298304.0
95.5,3.0,62.0,,244395.0
63.9,4.0,47.3,16.49,142752.0
59.7,,36.6,9.46,169762.0
,5.0,14.0,,301905.0
53.4,2.0,88.5,,106668.0
77.6,3.0,58.4,,233456.0
140.5,6.0,34.0,,387869.0
62.9,3.0,95.9,1.34,168945.0
,2.0,80.8,24.76,8000.0
107.4,6.0,24.6,16.95,306217.0
97.3,4.0,,28.75,193441.0
111.1,5.0,,27.56,251431.0
85.7,3.0,87.0,8.25,229717.0
45.0,1.0,76.8,29.64,38451.0
76.1,3.0,19.4,5.74,215208.0
125.3,6.0,,25.32,323047.0
72.6,3.0,44.3,,195557.0
34.4,2.0,6.6,,43257.0
58.4,2.0,38.4,27.82,94185.0
56.5,2.0,48.4,0.39,172799.0
61.1,3.0,93.9,,122931.0
55.4,3.0,13.9,,162708.0
74.6,3.0,49.9,17.85,167434.0
164.0,7.0,23.9,16.58,462347.0
64.6,3.0,97.6,21.83,117345.0
65.3,3.0,10.6,27.76,133489.0
39.5,2.0,58.1,23.63,49537.0
52.6,2.0,78.8,13.44,111703.0
122.6,5.0,91.1,25.86,273182.0
33.9,1.0,26.0,,82056.0
33.3,2.0,21.8,14.93,86469.0
39.4,1.0,,18.81,55342.0
21.2,1.0,47.0,,8000.0
32.2,2.0,59.7,23.29,17656.0
70.5,3.0,50.4,,178989.0
109.9,6.0,96.9,27.04,235205.0
166.8,8.0,98.8,16.54,458821.0
62.5,3.0,56.6,26.52,104915.0
123.8,5.0,88.2,7.04,348116.0
123.9,5.0,43.4,,353484.0
24.5,1.0,,22.02,19530.0
92.7,5.0,6.7,19.58,239799.0
96.8,5.0,42.0,6.86,278309.0
72.4,4.0,,,160807.0
48.3,2.0,,7.37,113354.0
82.5,4.0,40.2,,188649.0
175.4,8.0,16.0,25.39,482226.0
36.1,2.0,41.0,,29837.0
72.6,2.0,78.3,23.45,141022.0
104.3,4.0,35.5,,256355.0
130.2,6.0,30.7,,388595.0
58.4,1.0,6.2,15.31,144212.0
61.0,3.0,95.9,15.61,121399.0
91.7,5.0,48.7,8.11,255036.0
100.2,4.0,12.0,16.81,279512.0
74.4,2.0,49.7,8.49,205644.0
72.7,3.0,89.2,1.59,213985.0
46.2,2.0,54.4,17.18,92821.0
96.1,,43.9,16.97,229261.0
50.3,,29.0,5.89,129475.0
31.8,1.0,74.1,18.82,22185.0
33.0,3.0,67.6,8.1,94182.0
38.0,1.0,15.8,9.4,84814.0
43.0,2.0,2.0,,96859.0
48.5,2.0,23.9,27.87,83676.0
82.9,5.0,65.7,16.08,205202.0
61.6,2.0,94.4,,165291.0
101.6,4.0,84.1,16.38,244401.0
47.7,1.0,82.0,6.39,107213.0
128.7,7.0,74.9,5.98,371520.0
38.6,2.0,22.9,19.08,84658.0
133.3,6.0,,12.46,381472.0
61.4,3.0,92.6,1.97,180579.0
31.7,,50.6,,86324.0
78.0,,,,144910.0
135.7,7.0,89.9,,315300.0
47.5,3.0,15.2,24.51,81521.0
47.1,2.0,20.6,,155313.0
89.9,4.0,,25.34,201192.0
92.4,5.0,68.0,10.11,246315.0
66.6,3.0,,7.73,162591.0
166.6,6.0,71.4,,493995.0
61.1,2.0,60.4,28.31,94611.0
123.9,,,,375088.0
79.3,4.0,66.4,,220491.0
47.3,2.0,,19.89,96580.0
24.4,1.0,,21.25,19113.0
95.8,4.0,72.5,9.6,245232.0
,4.0,47.7,6.07,281777.0
67.4,3.0,52.0,,118720.0
111.2,5.0,19.9,20.52,297600.0
89.6,5.0,41.5,,202956.0
52.5,3.0,88.9,15.67,107833.0
69.0,,5.0,26.94,142704.0
218.8,9.0,70.6,4.39,670238.0
114.1,5.0,38.0,22.89,279634.0
75.1,3.0,24.5,,200953.0
98.7,5.0,31.1,17.86,269635.0
53.4,2.0,,9.68,132090.0
64.9,3.0,,,203022.0
73.2,4.0,92.9,28.36,141993.0
79.1,3.0,61.9,12.95,194987.0
41.2,1.0,97.9,12.61,60917.0
68.7,3.0,46.6,25.85,131499.0
112.7,5.0,,,330918.0
34.2,2.0,78.2,18.88,49743.0
121.1,6.0,34.8,28.93,288277.0
36.8,2.0,56.0,28.35,14956.0
75.9,,63.5,14.26,188482.0
70.1,3.0,63.9,,172097.0
123.6,5.0,32.3,23.62,321848.0
110.8,4.0,26.4,11.98,304010.0
85.1,4.0,54.6,27.78,176569.0
56.7,2.0,73.5,20.49,112551.0
69.7,3.0,21.0,11.57,183452.0
128.9,6.0,56.5,7.0,342489.0
89.0,3.0,,9.52,232466.0
53.8,2.0,37.0,,106582.0
124.7,6.0,,,354213.0
137.6,6.0,52.0,3.69,404896.0
96.8,3.0,,,181773.0
36.1,1.0,8.8,23.96,36794.0
60.4,4.0,,9.9,167571.0
46.4,3.0,86.4,9.63,101870.0
75.5,3.0,28.6,16.81,209136.0
75.4,3.0,15.6,1.83,233504.0
144.1,6.0,52.1,7.65,411409.0
49.2,,54.6,29.78,80048.0
74.1,4.0,23.7,13.22,219407.0
118.1,5.0,89.2,12.62,311856.0
66.8,4.0,,23.02,156275.0
107.9,6.0,26.3,9.86,318841.0
64.0,3.0,,17.6,159589.0
38.0,2.0,30.5,20.17,63485.0
